국내 지진목록 검색결과
번호,발생시각,규모,깊이(km),위도,경도,위치
74,06/17/18 03:42,1.1,9,35.72 N,129.38 E,경북 경주시 남동쪽 20km 지역
73,06/16/18 03:01,1,7,35.70 N,129.35 E,경북 경주시 남동쪽 20km 지역
72,06/13/18 02:36,1,16,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
71,06/13/18 00:06,0.9,16,35.76 N,129.19 E,경북 경주시 남쪽 9km 지역
70,06/05/18 06:34,0.6,12,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
69,06/04/18 10:50,0.6,12,35.77 N,129.19 E,경북 경주시 남쪽 8km 지역
68,06/04/18 08:33,1.1,15,35.77 N,129.19 E,경북 경주시 남남서쪽 9km 지역
67,06/01/18 22:14,0.4,11,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
66,05/29/18 05:36,1,13,35.77 N,129.18 E,경북 경주시 남남서쪽 7km 지역
65,05/28/18 14:29,1.6,14,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
64,05/20/18 22:26,1.5,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
63,05/20/18 05:55,1.4,15,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
62,05/16/18 21:05,1.4,17,35.78 N,129.21 E,경북 경주시 남남서쪽 9km 지역
61,05/13/18 05:23,0.6,12,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
60,05/09/18 16:20,1,13,35.76 N,129.18 E,경북 경주시 남쪽 8km 지역
59,05/01/18 19:09,2,15,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
58,04/27/18 05:36,0.8,10,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
57,04/26/18 18:43,1.9,16,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
56,04/22/18 13:21,1,11,35.71 N,129.40 E,경북 경주시 남동쪽 22km 지역
55,04/14/18 01:38,1.6,13,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
54,04/10/18 15:39,1.8,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
53,04/09/18 12:15,2.4,16,35.76 N,129.19 E,경북 경주시 남남서쪽 8km 지역
52,04/03/18 18:44,1.3,11,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
51,04/02/18 10:46,0.9,12,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
50,03/30/18 01:27,1.3,13,35.76 N,129.21 E,경북 경주시 남쪽 9km 지역
49,03/26/18 14:21,1.4,11,35.80 N,129.19 E,경북 경주시 남남서쪽 5km 지역
48,03/13/18 07:25,1.6,13,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
47,03/12/18 04:41,0.9,13,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
46,03/07/18 03:22,1.4,11,35.79 N,129.17 E,경북 경주시 남서쪽 7km 지역
45,03/07/18 02:03,1.3,14,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
44,02/15/18 13:49,1,14,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
43,02/13/18 07:03,1.3,12,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
42,02/10/18 07:57,1.3,12,35.78 N,129.18 E,경북 경주시 남남서쪽 7km 지역
41,02/09/18 07:47,0.9,9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
40,02/08/18 18:54,0.9,14,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
39,02/02/18 00:04,1,17,35.79 N,129.03 E,경북 경주시 서남서쪽 17km 지역
38,02/01/18 02:12,0.9,11,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
37,01/30/18 12:03,1.1,11,35.92 N,129.27 E,경북 경주시 북북동쪽 10km 지역
36,01/29/18 07:24,1.3,10,35.80 N,129.20 E,경북 경주시 남남서쪽 4km 지역
35,01/27/18 17:18,1.3,14,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
34,01/20/18 12:25,1.1,12,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
33,01/17/18 19:09,1.3,12,35.80 N,129.19 E,경북 경주시 남남서쪽 5km 지역
32,01/16/18 17:36,1.3,15,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
31,01/07/18 19:42,0.9,17,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
30,01/05/18 06:28,1.5,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
29,01/03/18 13:04,1.8,15,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
28,01/02/18 21:46,1.3,12,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
27,12/30/17 19:44,2,17,35.76 N,129.17 E,경북 경주시 남남서쪽 9km 지역
26,12/19/17 13:34,2.1,7,35.77 N,129.42 E,경북 경주시 동남동쪽 20km 지역
25,11/09/17 13:29,2,16,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
24,10/16/17 15:51,2.5,14,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역
