국내 지진목록 검색결과
번호,발생시각,규모,깊이(km),위도,경도,위치
289,08/13/20 04:58,1.1,9,35.72 N,129.39 E,경북 경주시 남동쪽 21km 지역
288,08/09/20 12:45,1.3,8,35.89 N,129.11 E,경북 경주시 서북서쪽 11km 지역
287,08/08/20 21:39,1.5,7,35.77 N,129.31 E,경북 경주시 남동쪽 12km 지역
286,08/05/20 09:45,1.2,7,35.80 N,129.34 E,경북 경주시 동남동쪽 12km 지역
285,08/05/20 09:03,1.2,11,35.79 N,129.19 E,경북 경주시 남남서쪽 8km 지역
284,08/04/20 10:09,1.3,6,35.77 N,129.31 E,경북 경주시 남동쪽 11km 지역
283,08/03/20 03:24,1.2,8,35.78 N,129.31 E,경북 경주시 남동쪽 11km 지역
282,08/02/20 07:41,0.9,9,35.83 N,129.39 E,경북 경주시 동쪽 16km 지역
281,07/29/20 17:49,1.1,8,35.82 N,129.31 E,경북 경주시 동남동쪽 9km 지역
280,07/26/20 08:07,1.4,12,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
279,07/26/20 05:21,1.5,16,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
278,07/06/20 02:40,1.1,13,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역
277,06/08/20 20:06,1.1,12,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
276,05/26/20 05:37,1.1,11,35.77 N,129.15 E,경북 경주시 남서쪽 9km 지역
275,05/25/20 05:06,1.2,11,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
274,05/25/20 04:43,1.1,-,35.97 N,129.21 E,경북 경주시 북쪽 15km 지역
273,05/07/20 14:00,1.3,-,35.91 N,129.10 E,경북 경주시 북서쪽 13km 지역
272,05/03/20 02:27,1.7,16,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
271,04/29/20 00:59,1.2,13,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
270,04/25/20 20:58,1.7,7,35.78 N,129.31 E,경북 경주시 남동쪽 11km 지역
269,04/23/20 13:19,1.5,13,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
268,04/22/20 03:33,1.5,10,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
267,04/21/20 08:13,1.7,9,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
266,04/17/20 18:17,1.7,14,35.82 N,129.40 E,경북 경주시 동쪽 17km 지역
265,04/11/20 18:21,1.2,9,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
264,04/09/20 21:18,1.6,14,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
263,04/07/20 17:33,1.4,12,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
262,04/04/20 12:43,1.3,14,35.76 N,129.21 E,경북 경주시 남쪽 9km 지역
261,03/29/20 03:20,1.7,8,35.73 N,129.33 E,경북 경주시 남동쪽 16km 지역
260,03/15/20 12:25,1.8,10,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역
259,03/09/20 14:25,1.3,13,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
258,03/09/20 01:11,1,14,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
257,03/08/20 00:52,1.2,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
256,03/05/20 00:24,1.6,13,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
255,02/26/20 03:34,1.6,9,35.71 N,129.35 E,경북 경주시 남동쪽 19km 지역
254,02/24/20 18:28,1.4,15,35.78 N,129.19 E,경북 경주시 남남서쪽 7km 지역
253,02/23/20 22:37,1.6,9,35.71 N,129.35 E,경북 경주시 남동쪽 19km 지역
252,02/22/20 09:47,1.2,7,35.78 N,129.39 E,경북 경주시 동남동쪽 17km 지역
251,02/19/20 18:55,1.7,12,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
250,02/19/20 04:34,1.4,12,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
249,02/12/20 20:21,1.4,13,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
248,02/09/20 14:41,2.4,9,35.77 N,129.03 E,경북 경주시 서남서쪽 18km 지역
247,02/03/20 23:41,1.4,12,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
246,01/31/20 20:26,1.9,16,35.77 N,129.20 E,경북 경주시 남쪽 8km 지역
245,01/14/20 17:42,1.5,12,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
244,01/09/20 23:26,1.5,13,35.78 N,129.37 E,경북 경주시 동남동쪽 15km 지역
243,12/28/19 11:45,1.6,12,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
242,12/25/19 22:39,1.6,16,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
241,12/24/19 04:50,1.7,9,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역
240,12/22/19 03:13,1.1,-,35.92 N,129.09 E,경북 경주시 북서쪽 14km 지역
239,12/19/19 13:11,1.3,8,35.73 N,129.36 E,경북 경주시 남동쪽 18km 지역
238,12/14/19 21:49,1.5,13,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
